"";"BT12_REP_A";"BT12_REP_B";"BT12_REP_C";"BT16_REP_A";"BT16_REP_B";"BT16_REP_C";"CHLA06_REP_A";"CHLA06_REP_B";"CHLA06_REP_C";"D425_REP_A";"D425_REP_B";"D425_REP_C";"LN229_REP_A";"LN229_REP_B";"LN229_REP_C";"LN18_REP_A";"LN18_REP_B";"LN18_REP_C";"spike_in_plasmid_DNA_from_CP1608";"GS-2_REP_A";"GS-2_REP_B";"GS-2_REP_C";"GS-9_REP_A";"GS-9_REP_B";"GS-9_REP_C";"T98G_REP_A";"T98G_REP_B";"T98G_REP_C";"LNZ308_REP_A";"LNZ308_REP_B";"LNZ308_REP_C";"CHLA259_REP_A";"CHLA259_REP_B";"DAOY_REP_A";"DAOY_REP_B";"DAOY_REP_C";"H1048_REP_A";"H1048_REP_B";"H1048_REP_C";"PC-9_REP_A";"PC-9_REP_C";"TC-32_REP_A";"TC-32_REP_C";"TC-71_REP_A";"TC-71_REP_B";"TC-71_REP_C";"Jurkat_REP_A";"Jurkat_REP_B";"Jurkat_REP_C";"HT1080_REP_A";"HT1080_REP_B";"MCF7_REP_A";"MCF7_REP_B";"MCF7_REP_C";"G401_REP_A";"G401_REP_B";"Rh30_REP_A";"Rh30_REP_B";"Rh30_REP_C";"CHLA259_REP_C";"PC-9_REP_B";"TC-32_REP_B";"HT1080_REP_C";"G401_REP_C";"BEN-MEN_REP_A";"BEN-MEN_REP_B";"BEN-MEN_REP_C";"KM-H2_REP_A";"KM-H2_REP_B";"KM-H2_REP_C";"JVM-2_REP_A";"JVM-2_REP_B";"JVM-2_REP_C";"JVM-3_REP_A";"JVM-3_REP_B";"JVM-3_REP_C";"HCC1143_REP_A";"HCC1143_REP_B";"HCC1143_REP_C";"MDA-MB453_REP_A";"MDA-MB453_REP_B";"MDA-MB453_REP_C";"A204_REP_A";"A204_REP_B";"A204_REP_C";"HepG2_REP_A";"HepG2_REP_B";"MON_REP_A";"MON_REP_B";"MON_REP_C";"MELJUSO_REP_A";"MELJUSO_REP_B";"MELJUSO_REP_C";"SK-Mel-30_REP_A";"SK-Mel-30_REP_B";"SK-Mel-30_REP_C";"DU145_REP_A";"DU145_REP_B";"DU145_REP_C";"HAT29_REP_A";"HAT29_REP_B";"HAT29_REP_C";"SY5Y_REP_A";"SY5Y_REP_B";"SY5Y_REP_C";"SK-N-BE_REP_A";"SK-N-BE_REP_C";"NCI-N87_REP_A";"NCI-N87_REP_B";"NCI-N87_REP_C";"HeLa_REP_A";"HeLa_REP_B";"HeLa_REP_C";"HL60_REP_A";"HL60_REP_C";"Huh7_REP_A";"Huh7_REP_B";"Huh7_REP_C";"THP-1_REP_A";"THP-1_REP_B";"THP-1_REP_C";"MKN45_REP_A";"MKN45_REP_B";"MKN45_REP_C";"RKO_REP_A";"RKO_REP_B";"RKO_REP_C";"A375_REP_A";"A375_REP_B";"A375_REP_C";"Mel1617_REP_A";"Mel1617_REP_B";"Mel1617_REP_C";"HCT116_REP_A";"HCT116_REP_B";"HCT116_REP_C";"TFK1_REP_A";"TFK1_REP_B";"TFK1_REP_C";"HepG2_REP_C";"SK-N-BE_REP_B";"HL60_REP_B"
"runs";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4"
"plates";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"b";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"c";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a"
"DNA_run";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"0";"11";"11";"11";"11";"11";"11";"1";"1";"1";"1";"1";"1";"3";"3";"3";"3";"3";"13";"13";"13";"12";"12";"6";"6";"6";"6";"6";"6";"6";"6";"2";"2";"6";"6";"6";"11";"11";"3";"3";"3";"14";"14";"14";"14";"14";"5";"5";"5";"6";"6";"6";"11";"11";"11";"12";"12";"12";"4";"4";"4";"4";"4";"4";"9";"9";"9";"10";"10";"5";"5";"5";"4";"4";"4";"5";"5";"5";"9";"9";"9";"13";"13";"13";"10";"10";"10";"10";"10";"5";"5";"5";"4";"4";"4";"14";"14";"8";"8";"8";"7";"7";"7";"8";"8";"8";"8";"8";"8";"8";"8";"8";"7";"7";"7";"7";"7";"7";"8";"8";"8";"14";"14";"14"
